name,id,ref
Dúbravy,3602265518,SK0324518379
Dudince,3602266198,SK0325518387
Dulovo,3602274763,SK0329557919
Ďurkovce,3602272580,SK032A515990
Figa,3602274805,SK0329514713
Fiľakovo,3602273333,SK0326511391
Fiľakovské Kováče,3602273304,SK0326511404
Gemer,3602274997,SK0328514721
Gemerček,3602274770,SK0329514730
Gemerská Ves,3602274976,SK0328514756
Gemerské Dechtáre,3602274747,SK0329514764
Gemerské Michalovce,3602274812,SK0329557889
Gemerské Teplice,3602274977,SK0328525677
Gemerský Jablonec,3602274762,SK0329514781
Gemerský Sad,3602274981,SK0328525685
Glabušovce,3602272589,SK032A516007
Gortva,3602274720,SK0329514799
Gregorova Vieska,3602273291,SK0326557331
Hajnáčka,3602274799,SK0329514811
Halič,3602273302,SK0326511421
Harmanec,3602265306,SK0321508594
Heľpa,3602265965,SK0323508608
Hiadeľ,3602265323,SK0321508616
Hliník nad Hronom,3602261476,SK032D516767
Hnúšťa,3602274737,SK0329514829
Hodejov,3602274789,SK0329514837
Hodejovec,3602274774,SK0329514845
Hodruša-Hámre,3602257554,SK032C516759
Holiša,3602273326,SK0326511439
Hontianske Moravce,3602266209,SK0325518409
Hontianske Nemce,3602266189,SK0325518417
Hontianske Tesáre,3602266217,SK0325518425
Horná Lehota,3602265944,SK0323508624
Horná Mičiná,3602265328,SK0321508632
Horná Strehová,3602272571,SK032A516015
Horná Ves,3602261490,SK032D581747
Horná Ždaňa,3602261465,SK032D516791
Horné Hámre,3602257547,SK032C516805
Horné Mladonice,3602266196,SK0325518433
Horné Plachtince,3602272557,SK032A516023
Horné Pršany,3602265312,SK0321508641
Horné Strháre,3602272592,SK032A516031
Horné Zahorany,3602274809,SK0329514853
Horný Badín,3602266223,SK0325518441
Horný Tisovník,3602265520,SK0324518450
Hostice,3602274724,SK0329514861
Hostišovce,3602274826,SK0329514870
Hrabičov,3602257537,SK032C516813
Hradište,3602273704,SK0327511447
Hrachovo,3602274818,SK0329514888
Hriňová,3602265511,SK0324518468
Hrlica,3602274963,SK0328514896
Hrnčiarska Ves,3602273703,SK0327514900
Hrnčiarske Zalužany,3602273689,SK0327514918
Hrochoť,3602265343,SK0321508659
Hronec,3602265952,SK0323508667
Hronsek,3602265331,SK0321580236
Hronská Breznica,3602265033,SK032B518476
Hronská Dúbrava,3602261461,SK032D516821
Hronský Beňadik,3602257549,SK032C516830
Hrušov,3602272554,SK032A516040
Hrušovo,3602274726,SK0329514926
Hubovo,3602274734,SK0329514934
Hucín,3602274982,SK0328525766
Husiná,3602274764,SK0329514942
Chanava,3602274806,SK0329514951
Chrámec,3602274780,SK0329514969
Chrastince,3602272584,SK032A516058
Chrťany,3602272596,SK032A516066
Chvalová,3602274972,SK0328514977
Chyžné,3602274965,SK0328525774
Ihráč,3602261488,SK032D516848
Ilija,3602257770,SK0322516856
Ipeľské Predmostie,3602272555,SK032A516074
Ivanice,3602274749,SK0329514985
Jalšovík,3602266220,SK0325518484
Janice,3602274801,SK0329514993
Janova Lehota,3602261459,SK032D516872
Jarabá,3602265941,SK0323508691
Jasenie,3602265947,SK0323508705
Jastrabá,3602261482,SK032D516881
Jelšava,3602274993,SK0328525791
Jelšovec,3602273299,SK0326511463
Jesenské,3602274721,SK0329515001
Jestice,3602274791,SK0329515019
Kalinovo,3602273710,SK0327511471
Kalonda,3602273322,SK0326511480
Kaloša,3602274740,SK0329515027
Kameňany,3602274985,SK0328525812
Kamenné Kosihy,3602272588,SK032A516082
Kesovce,3602274820,SK0329515035
Kiarov,3602272536,SK032A516091
Kľak,3602257548,SK032C516902
Kleňany,3602272587,SK032A516104
Klenovec,3602274766,SK0329515043
Klokoč,3602265517,SK0324518492
Kociha,3602274743,SK0329515051
Kokava nad Rimavicou,3602273692,SK0327511498
Koláre,3602272542,SK032A516112
Konrádovce,3602274753,SK0329515060
Kopernica,3602261481,SK032D516937
Kordíky,3602265332,SK0321508713
Korytárky,3602265510,SK0324580520
Kosihovce,3602272578,SK032A516121
Kosihy nad Ipľom,3602272586,SK032A516139
Kosorín,3602261474,SK032D516945
Kotmanová,3602273335,SK0326511374
Kováčová,3602265052,SK032B518506
Kováčovce,3602272560,SK032A516147
Kozelník,3602257766,SK0322516953
Kozí Vrbovok,3602266216,SK0325518514
Krahule,3602261471,SK032D516961
Kráľ,3602274815,SK0329515078
Králiky,3602265295,SK0321508721
Kráľovce-Krnišov,3602266191,SK0325518531
Kraskovo,3602274786,SK0329515086
Kremnica,3602261485,SK032D516970
Kremnické Bane,3602261477,SK032D516988
Kriváň,3602265507,SK0324518549
Krná,3602273691,SK0327511501
Krokava,3602274804,SK0329515094
Krupina,3602266215,SK0325518557
Kružno,3602274772,SK0329515108
Kunešov,3602261480,SK032D516996
Kyjatice,3602274797,SK0329515116
Kynceľová,3602265297,SK0321557277
Lackov,3602266204,SK0325518565
Ladomerská Vieska,3602261484,SK032D599328
Ladzany,3602266199,SK0325518573
Látky,3602265515,SK0324511510
Lehota nad Rimavicou,3602274802,SK0329515124
Lehôtka,3602273315,SK0326511528
Lehôtka pod Brehmi,3602261478,SK032D517011
Lenartovce,3602274810,SK0329515132
Lenka,3602274785,SK0329515141
Lentvora,3602273300,SK0326511536
Lesenice,3602272581,SK032A516155
Lešť (vojenský obvod),3602265034,SK032B518581
Leváre,3602275001,SK0328515574
Levkuška,3602274984,SK0328515159
Licince,3602274971,SK0328525901
Lieskovec,3602265036,SK032B558133
Lipovany,3602273310,SK0326511544
Lipovec,3602274796,SK0329515167
Lišov,3602266205,SK0325518603
Litava,3602266186,SK0325518611
Lom nad Rimavicou,3602265938,SK0323508730
Lovča,3602261468,SK032D517020
Lovčica-Trubín,3602261473,SK032D517038
Lovinobaňa,3602273305,SK0326511552
Lubeník,3602274973,SK0328525928
Ľubietová,3602265337,SK0321508748
Ľuboreč,3602273294,SK0326511561
Ľuboriečka,3602272572,SK032A516163
Lučatín,3602265326,SK0321508756
Lučenec,3602273295,SK0326511218
Lúčky,3602261486,SK032D517046
Lukavica,3602265028,SK032B558087
Lukovištia,3602274798,SK0329515175
Lupoč,3602273330,SK0326511579
Lutila,3602261457,SK032D599336
Magnezitovce,3602275003,SK0328525944
Malá Čalomija,3602272537,SK032A516171
Malá Lehota,3602257543,SK032C517062
Malachov,3602265303,SK0321580244
Malé Straciny,3602272567,SK032A558206
Malé Zlievce,3602272551,SK032A516198
Málinec,3602273697,SK0327511595
Malý Krtíš,3602272541,SK032A558192
Martinová,3602274755,SK0329515183
Mašková,3602273344,SK0326511609
Medovarce,3602266219,SK0325518646
Medzibrod,3602265340,SK0321508764
Michalková,3602265046,SK032B518654
Michalová,3602265960,SK0323508772
Mikušovce,3602273323,SK0326580309
Mládzovo,3602273693,SK0327511617
Močiar,3602257763,SK0322517071
Modrý Kameň,3602272535,SK032A516210
Mokrá Lúka,3602274979,SK0328580384
Moštenica,3602265327,SK0321508799
Motyčky,3602265342,SK0321508802
Môlča,3602265302,SK0321508781
Mučín,3602273336,SK0326511625
Muľa,3602272530,SK032A516228
Muráň,3602274991,SK0328525987
Muránska Dlhá Lúka,3602274994,SK0328525995
Muránska Huta,3602274962,SK0328526002
Muránska Lehota,3602274968,SK0328526011
Muránska Zdychava,3602274983,SK0328526029
Mýtna,3602273340,SK0326511641
Mýto pod Ďumbierom,3602265959,SK0323508811
Nandraž,3602274975,SK0328526037
Nemce,3602265300,SK0321557285
Nemecká,3602265949,SK0323508829
Nenince,3602272531,SK032A516236
Neporadza,3602274759,SK0329515205
Nevoľné,3602261464,SK032D517089
Nitra nad Ipľom,3602273339,SK0326511668
Nižný Skálnik,3602274768,SK0329557790
Nová Baňa,3602257545,SK032C517097
Nová Bašta,3602274722,SK0329515230
Nová Ves,3602272559,SK032A516244
Nové Hony,3602273312,SK0326511676
Obeckov,3602272547,SK032A516252
Očová,3602265044,SK032B518662
Olováry,3602272538,SK032A516261
Opatovská Nová Ves,3602272570,SK032A516279
Opava,3602272574,SK032A516287
Oravce,3602265322,SK0321508837
Orávka,3602274742,SK0329515248
Orovnica,3602257551,SK032C580546
Osrblie,3602265946,SK0323508845
Ostrá Lúka,3602265049,SK032B518671
Ostrý Grúň,3602257542,SK032C517119
Otročok,3602274995,SK0328515256
Ozdín,3602273702,SK0327511684
Ožďany,3602274824,SK0329515264
Padarovce,3602274793,SK0329515272
Panické Dravce,3602273345,SK0326511692
Pavlovce,3602274729,SK0329515281
Petrovce,3602274752,SK0329515299
Píla,3602273328,SK0326511706
Píla,3602257540,SK032C517127
Pinciná,3602273308,SK0326511714
Pitelová,3602261467,SK032D517135
Pleš,3602273306,SK0326511722
Pliešovce,3602265050,SK032B518689
Ploské,3602274970,SK0328515302
Počúvadlo,3602257767,SK0322517160
Podbrezová,3602265955,SK0323508853
Podhorie,3602257761,SK0322517143
Podkonice,3602265311,SK0321508861
Podkriváň,3602265516,SK0324511731
Podrečany,3602273337,SK0326511749
Podzámčok,3602265032,SK032B518697
Pohorelá,3602265948,SK0323508870
Pohronská Polhora,3602265964,SK0323508888
Pohronský Bukovec,3602265330,SK0321508896
Polichno,3602273298,SK0326511757
Polina,3602274966,SK0328515311
Polomka,3602265962,SK0323508900
Poltár,3602273706,SK0327511765
Poniky,3602265313,SK0321508918
Poproč,3602274787,SK0329515337
Potok,3602274825,SK0329515345
Povrazník,3602265336,SK0321508926
Pôtor,3602272556,SK032A516295
Praha,3602273338,SK0326511773
Pravica,3602272563,SK032A516309
Predajná,3602265963,SK0323508934
Prenčov,3602257772,SK0322517178
Prestavlky,3602261463,SK032D517186
Príbelce,3602272540,SK032A516317
Priechod,3602265339,SK0321508942
Prihradzany,3602274964,SK0328526100
Prochot,3602261479,SK032D517194
Prša,3602273342,SK0326511781
Radnovce,3602274754,SK0329515353
Radzovce,3602273301,SK0326511790
Rákoš,3602274967,SK0328526118
Rakytník,3602274751,SK0329557854
Rapovce,3602273296,SK0326511803
Rašice,3602274974,SK0328515361
Ratka,3602273314,SK0326511811
Ratková,3602274987,SK0328515370
Ratkovská Lehota,3602274823,SK0329515388
Ratkovská Suchá,3602274783,SK0329515396
Ratkovské Bystré,3602274990,SK0328515400
Ráztoka,3602265953,SK0323508951
Repište,3602261460,SK032D517216
Revúca,3602275004,SK0328526142
Revúcka Lehota,3602274999,SK0328526151
Riečka,3602265309,SK0321508969
Riečka,3602274816,SK0329557765
Rimavská Baňa,3602274773,SK0329515426
Rimavská Seč,3602274776,SK0329515442
Rimavská Sobota,3602274769,SK0329514462
Rimavské Brezovo,3602274758,SK0329515451
Rimavské Janovce,3602274822,SK0329515469
Rimavské Zalužany,3602274778,SK0329557811
Rovňany,3602273694,SK0327511820
Rovné,3602274748,SK0329515485
Rudno nad Hronom,3602257539,SK032C517232
Rumince,3602274741,SK0329515493
Ružiná,3602273324,SK0326511838
Rybník,3602275000,SK0328515507
Rykynčice,3602266203,SK0325518701
Sása,3602274969,SK0328557820
Sása,3602265031,SK032B518727
Sebedín-Bečov,3602265314,SK0321508977
Sebechleby,3602266202,SK0325518735
Sečianky,3602272579,SK032A516333
Seľany,3602272577,SK032A516341
Selce,3602265341,SK0321508985
Selce,3602266194,SK0325518743
Selce,3602273690,SK0327515515
Senné,3602272562,SK032A516368
Senohrad,3602266221,SK0325518751
Sielnica,3602265040,SK032B518760
Sihla,3602265942,SK0323508993
Sirk,3602274998,SK0328526258
Skerešovo,3602274988,SK0328515523
Sklabiná,3602272575,SK032A516376
Sklené Teplice,3602261487,SK032D517241
Slaská,3602261462,SK032D517259
Slatinské Lazy,3602265512,SK0324518794
Sliač,3602265026,SK032B518808
Slizké,3602274784,SK0329515531
Slovenská Ľupča,3602265334,SK0321509001
Slovenské Ďarmoty,3602272546,SK032A516384
Slovenské Kľačany,3602272545,SK032A516392
Stará Bašta,3602274756,SK0329515540
Stará Halič,3602273318,SK0326511846
Stará Huta,3602265514,SK0324518816
Stará Kremnička,3602261489,SK032D517267
Staré Hory,3602265308,SK0321509019
Stožok,3602265519,SK0324518824
Stránska,3602274777,SK0329515566
Stredné Plachtince,3602272550,SK032A516406
Strelníky,3602265335,SK0321509027
Studená,3602274732,SK0329515582
Sudince,3602266188,SK0325518832
Súdovce,3602266200,SK0325518841
Sucháň,3602272597,SK032A516414
Suché Brezovo,3602272566,SK032A516422
Sušany,3602273701,SK0327515591
Sútor,3602274746,SK0329515604
Svätý Anton,3602257771,SK0322516597
Šávoľ,3602273313,SK0326511854
Šiatorská Bukovinka,3602273341,SK0326511862
Šíd,3602273311,SK0326511871
Šimonovce,3602274750,SK0329515621
Širákov,3602272544,SK032A516431
Širkovce,3602274819,SK0329515639
Šivetice,3602275002,SK0328526304
Šoltýska,3602273700,SK0327511889
Špania Dolina,3602265310,SK0321509035
Španie Pole,3602274788,SK0329515647
Štiavnické Bane,3602257769,SK0322517283
Štrkovec,3602274800,SK0329515655
Šuľa,3602272595,SK032A516449
Šumiac,3602265951,SK0323509043
Šurice,3602273329,SK0326511897
Tachty,3602274782,SK0329515663
Tajov,3602265325,SK0321509060
Tekovská Breznica,3602257544,SK032C517291
Telgárt,3602265943,SK0323509051
Teplý Vrch,3602274744,SK0329515671
Terany,3602266185,SK0325518867
Tisovec,3602274725,SK0329515680
Točnica,3602273307,SK0326511901
Tomášovce,3602273316,SK0326511919
Tomášovce,3602274792,SK0329515698
Tornaľa,3602274980,SK0328515612
Trebeľovce,3602273346,SK0326511927
Trebušovce,3602272564,SK032A516457
Trenč,3602273319,SK0326557340
Trnavá Hora,3602261469,SK032D517313
Tŕnie,3602265051,SK032B518875
Trpín,3602266187,SK0325518883
Tuhár,3602273327,SK0326511943
Turčok,3602274986,SK0328526321
Turecká,3602265338,SK0321557269
Turová,3602265025,SK032B518891
Uhorské,3602273695,SK0327511978
Uňatín,3602266201,SK0325518905
Utekáč,3602273698,SK0327580317
Uzovská Panica,3602274817,SK0329515701
Valaská,3602265957,SK0323509086
Valice,3602274723,SK0329515795
Vaľkovňa,3602265945,SK0323509094
Včelince,3602274731,SK0329515710
Večelkov,3602274781,SK0329515728
Veľká Čalomija,3602272558,SK032A516465
Veľká Lehota,3602257536,SK032C517330
Veľká Lúka,3602265047,SK032B581585
Veľká nad Ipľom,3602273321,SK0326511994
Veľká Ves,3602273696,SK0327512001
Veľká Ves nad Ipľom,3602272593,SK032A516473
Veľké Dravce,3602273325,SK0326512010
Veľké Pole,3602257552,SK032C517348
Veľké Straciny,3602272548,SK032A558214
Veľké Teriakovce,3602274735,SK0329515736
Veľké Zlievce,3602272565,SK032A516490
Veľký Blh,3602274821,SK0329515744
Veľký Krtíš,3602272561,SK032A515850
Veľký Lom,3602272553,SK032A516503
Vidiná,3602273309,SK0326557307
Vieska,3602272583,SK032A516511
Vieska nad Blhom,3602274728,SK0329515752
Vígľaš,3602265513,SK0324518921
Vígľašská Huta-Kalinka,3602265506,SK0324518930
Vinica,3602272573,SK032A516520
Višňové,3602274989,SK0328515761
Vlkanová,3602265307,SK0321557293
Vlkyňa,3602274795,SK0329515779
Voznica,3602257541,SK032C517356
Vrbovka,3602272543,SK032A516538
Vyhne,3602261458,SK032D517364
Vysoká,3602257759,SK0322517372
Vyšné Valice,3602274828,SK0329557901
Vyšný Skálnik,3602274771,SK0329515809
Zádor,3602274814,SK0329515817
Záhorce,3602272590,SK032A516546
Zacharovce,3602274730,SK0329557927
Závada,3602272569,SK032A516554
Závadka nad Hronom,3602265958,SK0323509124
Zemiansky Vrbovok,3602266192,SK0325518956
Zlatno,3602273705,SK0327582051
Zombor,3602272568,SK032A516562
Zvolen,3602265027,SK032B518158
Zvolenská Slatina,3602265042,SK032B518972
Žarnovica,3602257538,SK032C517381
Železná Breznica,3602265029,SK032B518981
Želovce,3602272598,SK032A516571
Žiar,3602274996,SK0328515833
Žiar nad Hronom,3602261483,SK032D516589
Žibritov,3602266190,SK0325518999
Žíp,3602274757,SK0329515841
Župkov,3602257553,SK032C517399
Báhoň,3602207083,SK0107507806
Bernolákovo,3601993132,SK0108507814
Blatné,3601993133,SK0108507822
Boldog,3602207345,SK0108503681
Borinka,3602206976,SK0106507831
Čunovo,3602208780,SK0105529435
Devín,3602208776,SK0104529401
Devínska Nová Ves,3602208779,SK0104529371
Dúbravka,3602208772,SK0104529389
Jarovce,3602208774,SK0105529443
Karlova Ves,3602208777,SK0104529397
Lamač,3602208775,SK0104529419
Nové Mesto,3602190576,SK0103529346
Petržalka,3602208781,SK0105529460
Podunajské Biskupice,3602185278,SK0102529311
Rača,3602190577,SK0103529354
Rusovce,3602208778,SK0105529494
Ružinov,3602185279,SK0102529320
Bratislava - mestská časť Staré Mesto,3601700677,SK0101528595
Vajnory,3602190578,SK0103529362
Vrakuňa,3602185281,SK0102529338
Záhorská Bystrica,3602208773,SK0104529427
Budmerice,3602207086,SK0107507849
Častá,3602207090,SK0107507857
Čataj,3601993177,SK0108507865
Doľany,3602207093,SK0107507873
Dubová,3602207092,SK0107507881
Dunajská Lužná,3602207322,SK0108545333
Gajary,3602206973,SK0106507890
Hamuliakovo,3602207323,SK0108507903
Hrubá Borša,3602207324,SK0108503797
Hrubý Šúr,3602207325,SK0108503801
Hurbanova Ves,3602207326,SK0108503819
Chorvátsky Grob,3602207321,SK0108507911
Igram,3602207327,SK0108555487
Ivanka pri Dunaji,3602207328,SK0108507938
Jablonec,3602207088,SK0107507946
Jablonové,3602206954,SK0106507954
Jakubov,3602206960,SK0106507962
Kalinkovo,3602207329,SK0108507997
Kaplna,3602207330,SK0108555495
Kostolište,3602206958,SK0106508012
Kostolná pri Dunaji,3602207346,SK0108503851
Kráľová pri Senci,3602207331,SK0108503894
Kuchyňa,3602206964,SK0106508021
Láb,3602206961,SK0106508039
Limbach,3602207082,SK0107508047
Lozorno,3602206955,SK0106508055
Malacky,3602206952,SK0106508063
Malé Leváre,3602206959,SK0106504556
Malinovo,3602207332,SK0108508071
Marianka,3602206957,SK0106508080
Miloslavov,3602207333,SK0108508098
Modra,3602207080,SK0107508101
Most pri Bratislave,3602207334,SK0108508110
Nová Dedinka,3602207335,SK0108508136
Nový Svet,3602207336,SK0108582549
Pernek,3602206962,SK0106508161
Pezinok,3602207078,SK0107508179
Píla,3602207091,SK0107508187
Plavecké Podhradie,3602206966,SK0106504629
Plavecký Mikuláš,3602206965,SK0106504637
Plavecký Štvrtok,3602206969,SK0106508195
Reca,3602207337,SK0108503983
Rohožník,3602206967,SK0106504769
Rovinka,3602207338,SK0108508209
Senec,3602207339,SK0108508217
Slovenský Grob,3602207085,SK0107508225
Sološnica,3602206968,SK0106504858
Studienka,3602206972,SK0106504874
Stupava,3602206975,SK0106508233
Suchohrad,3602206970,SK0106508241
Svätý Jur,3602207081,SK0107507989
Šenkvice,3602207077,SK0107508250
Štefanová,3602207089,SK0107508268
Tomášov,3602207340,SK0108508276
Tureň,3602207341,SK0108508284
Veľké Leváre,3602206974,SK0106504947
Veľký Biel,3602207342,SK0108508292
Viničné,3602207094,SK0107508306
Vinosady,3602207084,SK0107508314
Vištuk,3602207079,SK0107508322
Vlky,3602207343,SK0108508331
Vysoká pri Morave,3602206971,SK0106508349
Vojenský obvod Záhorie,3602206956,SK0106500267
Záhorská Ves,3602206963,SK0106508365
Zálesie,3602207344,SK0108555509
Závod,3602206951,SK0106504980
Zohor,3602206953,SK0106508381
Ardovo,3602381098,SK0428525537
Arnutovce,3602381998,SK042A526363
Bačka,3602386271,SK042B528102
Bačkov,3602386303,SK042B528111
Bačkovík,3602384734,SK0426521141
Bajany,3602386562,SK0427522287
Bánovce nad Ondavou,3602386543,SK0427522295
Bara,3602386314,SK042B528129
Baška,3602384675,SK0426521159
Baškovce,3602386780,SK0429522309
Belža,3602384784,SK0426521167
Beňatina,3602386768,SK0429522317
Beniakovce,3602384696,SK0426521175
Beša,3602386572,SK0427528137
Betlanovce,3602382012,SK042A526398
Betliar,3602381124,SK0428525545
Bežovce,3602386756,SK0429522325
Bidovce,3602384767,SK0426521183
Biel,3602386299,SK042B528145
Blatná Polianka,3602386789,SK0429522333
Blatné Remety,3602386796,SK0429522341
Blatné Revištia,3602386783,SK0429522350
Blažice,3602384741,SK0426521191
Bočiar,3602384765,SK0426559831
Bohdanovce,3602384710,SK0426521205
Bohúňovo,3602381086,SK0428525553
Boľ,3602386266,SK042B528161
Boliarov,3602384731,SK0426521213
Borša,3602386268,SK042B528170
Boťany,3602386317,SK042B528188
Bôrka,3602381119,SK0428525561
Bracovce,3602386602,SK0427522368
Brdárka,3602381081,SK0428525570
Brehov,3602386321,SK042B528200
Bretka,3602381115,SK0428514578
Brezina,3602386285,SK042B528218
Brzotín,3602381122,SK0428560022
Budimír,3602384754,SK0426521221
Budince,3602386561,SK0427513857
Budkovce,3602386574,SK0427522376
Bukovec,3602384713,SK0426521248
Bunetice,3602384755,SK0426521256
Bunkovce,3602386795,SK0429522384
Buzica,3602384722,SK0426521264
Bystrany,3602382001,SK042A526436
Byšta,3602386286,SK042B528226
Cejkov,3602386329,SK042B528234
Cestice,3602384688,SK0426521272
Čakanovce,3602384695,SK0426521281
Čaňa,3602384725,SK0426521299
Čečehov,3602386610,SK0427522392
Čečejovce,3602384706,SK0426521302
Čeľovce,3602386256,SK042B528242
Čerhov,3602386302,SK042B528251
Černochov,3602386319,SK042B528269
Čičarovce,3602386608,SK0427528277
Čierna,3602386253,SK042B528285
Čierna Lehota,3602381075,SK0428525596
Čierna nad Tisou,3602386327,SK042B528293
Čierne Pole,3602386582,SK0427528307
Čižatice,3602384756,SK0426521311
Čoltovo,3602381104,SK0428525600
Čučma,3602381111,SK0428560031
Danišovce,3602382019,SK042A526444
Dargov,3602386307,SK042B528315
Debraď,3602384694,SK0426521329
Dedinky,3602381079,SK0428525618
Dlhá Ves,3602381100,SK0428525626
Dobrá,3602386274,SK042B528323
Dobšiná,3602381078,SK0428525634
Drahňov,3602386553,SK0427528331
Drienovec,3602384699,SK0426521337
Drnava,3602381080,SK0428525642
Družstevná pri Hornáde,3602384703,SK0426521345
Dúbravka,3602386584,SK0427522406
Ďurďošík,3602384715,SK0426521353
Ďurkov,3602384707,SK0426521361
Dvorianky,3602386248,SK042B528340
Dvorníky-Včeláre,3602384701,SK0426559873
Egreš,3602386324,SK042B528358
Falkušovce,3602386592,SK0427522414
Fekišovce,3602386757,SK0429522422
Geča,3602384672,SK0426521370
Gelnica,3602382078,SK0421526509
Gemerská Hôrka,3602381105,SK0428525651
Gemerská Panica,3602381116,SK0428514748
Gemerská Poloma,3602381074,SK0428525669
Gočaltovo,3602381093,SK0428525693
Gočovo,3602381087,SK0428525707
Gyňov,3602384730,SK0426521388
Hačava,3602384760,SK0426521396
Háj,3602384714,SK0426518123
Haniska,3602384718,SK0426521400
Hanková,3602381125,SK0428525715
Harichovce,3602382005,SK042A526533
Hatalov,3602386549,SK0427522431
Hažín,3602386613,SK0427522449
Helcmanovce,3602382074,SK0421526541
Henckovce,3602381095,SK0428525723
Henclová,3602382084,SK0421526550
Herľany,3602384705,SK0426521418
Hincovce,3602382003,SK042A526568
Hlivištia,3602386799,SK0429522457
Hnilčík,3602382002,SK042A526576
Hnilec,3602382000,SK042A526584
Hnojné,3602386599,SK0427522465
Hodkovce,3602384723,SK0426521426
Honce,3602381102,SK0428525731
Horňa,3602386793,SK0429522473
Horovce,3602386609,SK0427522481
Hosťovce,3602384727,SK0426518107
Hrabušice,3602381988,SK042A526592
Hraň,3602386328,SK042B528366
Hrašovík,3602384777,SK0426521442
Hrčeľ,3602386270,SK042B528374
Hrhov,3602381073,SK0428525740
Hriadky,3602386294,SK042B528382
Hrišovce,3602382088,SK0421543144
Hrušov,3602381092,SK0428525758
Husák,3602386777,SK0429522490
Hýľov,3602384747,SK0426521469
Choňkovce,3602386758,SK0429522503
Chorváty,3602384737,SK0426599310
Chrasť nad Hornádom,3602381986,SK042A543152
Chrastné,3602384721,SK0426521477
Iliašovce,3602381992,SK042A543161
Iňačovce,3602386597,SK0427522511
Inovce,3602386785,SK0429522520
Ižkovce,3602386606,SK0427528391
Jablonov nad Turňou,3602381072,SK0428525782
Jaklovce,3602382079,SK0421543187
Jamník,3602381993,SK042A543195
Janík,3602384700,SK0426521485
Jasenov,3602386791,SK0429522538
Jasov,3602384782,SK0426521493
